cnpj;setor;nome;ID
00000531000184;Construção de edifícios;EMPREITEIRA DE CONSTRUCAO SANTANA REIS LTDA - EPP;1
00005275000118;Instalação e manutenção elétrica;CONSTRUTECKMA ENGENHARIA S.A.;2
00012224000113;Impressão de material para outros usos;LION DESIGN GRAFHIC IND.E COM.LTDA - ME;3
00016576000147;Construção de rodovias e ferrovias;BASEVI CONSTRUCOES S/A;4
00041327000101;Comércio por atacado de peças e acessórios novos para veículos automotores;CURINGA DOS PNEUS LTDA;5
00043471000187;Construção de edifícios;CONSTRUTORA VILLELA E CARVALHO LTDA;6
00057240000122;Fabricação de cimento;CIPLAN CIMENTO PLANALTO SA;7
00061493000170;Construção de rodovias e ferrovias;ENCOPAV ENGENHARIA LTDA;8
00065644000168;Fornecimento de alimentos preparados preponderantemente para empresas;OLIVEIRA & LEMOS LTDA;9
00066871000108;Comércio a varejo de automóveis, camionetas e utilitários novos;HAIKAR VEICULOS LTDA;10
00070509000100;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;COMERCIAL DAHANA LIMITADA;11
00073357000108;Suporte técnico, manutenção e outros serviços em tecnologia da informação;PSG TECNOLOGIA APLICADA LTDA;12
00074569000100;Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas;RIO DE JANEIRO REFRESCOS LTDA;13
00092633000177;Atividades de profissionais da área de saúde não especificadas anteriormente;HEMOLIN INSTITUTO DE PESQUISAS IMUNOHEMATOLOGICAS LTDA;14
00099210000189;Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia;DILAB MEDICINA NUCLEAR LTDA;15
00103582000131;Serviços de engenharia;ENGEVIX ENGENHARIA S/A;16
00118060000103;Construção de rodovias e ferrovias;IMBEG - IMBE ENGENHARIA LTDA;17
00119123000146;Impressão de livros, revistas e outras publicações periódicas;CORONARIO EDITORA GRAFICA LTDA;18
00125782000195;Construção de edifícios;CITYCON ENGENHARIA E CONSTRUCOES LTDA;19
00128463000133;Construção de edifícios;GP ENGENHARIA LTDA;20
00145915000195;Comércio a varejo de automóveis, camionetas e utilitários novos;ROTA PREMIUM VEICULOS LTDA;21
00146889000110;Limpeza em prédios e em domicílios;GOCIL SERVICOS GERAIS LTDA;22
00148049000196;Incorporação de empreendimentos imobiliários;ACJ CONSTRUCOES E INCORPORACOES S/A;23
00153470000195;Comércio atacadista de calçados;EVASINOS DISTRIBUIDORA DE CALCADOS LTDA;24
00165960000101;Desenvolvimento e licenciamento de programas de computador customizáveis;GOVERNANCABRASIL S/A TECNOLOGIA E GESTAO EM SERVICOS;25
00185997000100;Fabricação de cabines, carrocerias e reboques para caminhões;NOVO HORIZONTE JACAREPAGUA IMPORTACAO E EXPORTACAO LTDA;26
00217152000140;Construção de rodovias e ferrovias;PAISARTT CONSTRUTORA LTDA;27
00237518000143;Construção de rodovias e ferrovias;CONSTRUTORA CAIAPO LTDA;28
00240681000165;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;FRIOS VILHENA IMPORTACAO E EXPORTACAO LTDA;29
00246321000170;Construção de rodovias e ferrovias;PAVITEC DO BRASIL PAVIMENTADORA TECNICA LTDA;30
00249803000184;Serviço de táxi aéreo e locação de aeronaves com tripulação;HELISTAR TAXI AEREO ESCOLA DE PILOTAGEM E ASSESSORIA AERONAUTICA S A;31
00253448000117;Bancos múltiplos, com carteira comercial;BANCO POTTENCIAL SA;32
00273879000145;Formação de condutores;SANDRA LUCIA BAQUEIRO DOS SANTOS FERNANDES - EPP;33
00285753000190;Comércio atacadista de medicamentos e drogas de uso humano;VENANCIO PRODUTOS FARMACEUTICOS LTDA.;34
00286550000119;Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios;ENFIL S/A CONTROLE AMBIENTAL;35
00289695000173;Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;SYSFER CONSULTORIA E SISTEMAS S/C LTDA;36
00289977000170;Comércio a varejo de peças e acessórios novos para veículos automotores;AMM COMERCIO DE PECAS E ACESSORIOS PARA VEICULOS LTDA - ME;37
00292081000140;Coleta de resíduos não-perigosos;VIASOLO ENGENHARIA AMBIENTAL S.A;38
00292858000177;Comércio atacadista de produtos alimentícios em geral;HERBALIFE INTERNATIONAL DO BRASIL LTDA;39
00303696000125;Planos de saúde;ORALCLASS ASSISTENCIA MEDICA E ODONTOLOGICA LTDA - EPP;40
00306218000179;Comércio a varejo de automóveis, camionetas e utilitários novos;VENEZA DIESEL COMERCIO LTDA;41
00306597000105;Comércio varejista de combustíveis para veículos automotores;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;42
00313221000209;Comércio varejista de combustíveis para veículos automotores;SERV CAR DERIVADOS DE PETROLEO LTDA;43
00327180000110;Fabricação de produtos de carne;NEW QUALITY INDUSTRIA E COMERCIO DE CARNES E PRODUTOS ALIMENTICIOS LTDA - EPP;44
00332833000150;Locação de mão-de-obra temporária;DINAMICA ADMINISTRACAO, SERVICOS E OBRAS LTDA;45
00334681000124;Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos;MINERACAO VALE DO ARAGUAIA LTDA;46
00346953000106;Instalação e manutenção elétrica;2N ENGENHARIA LTDA;47
00350160000160;Comércio atacadista de medicamentos e drogas de uso humano;HOSP RIO MATERIAL HOSPITALAR LTDA;48
00350242000105;Edição integrada à impressão de cadastros, listas e outros produtos gráficos;BENVENHO & CIA LTDA;49
00376282000126;Serviços de engenharia;EGT ENGENHARIA LTDA;50
00379172000118;Impressão de livros, revistas e outras publicações periódicas;GRAFICA E EDITORA BRASIL LTDA;51
00391648000136;Compra e venda de imóveis próprios;ODONE RODRIGUES INVESTIMENTOS IMOBILIARIOS LTDA.- ME;52
00395875000130;Locação de automóveis sem condutor;AMORE TRANSPORTE LTDA;53
00405527000104;Atividades relacionadas a esgoto, exceto a gestão de redes;MONTE AZUL ENGENHARIA LTDA;54
00409834000155;Incorporação de empreendimentos imobiliários;PRIME INCORPORACOES E CONSTRUCOES S/A.;55
00415832000179;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados;SANTOS & BARBOSA LTDA - ME;56
00421097000106;Construção de edifícios;C C A EMPREENDIMENTOS IMOBILIARIOS LTDA;57
00427205000158;Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet;NET SERVICE S/A;58
00441599000107;Extração de madeira em florestas plantadas;RIO NOVO FLORESTAL LTDA;59
00447821000170;Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;DROGARIA ROSARIO S/A;60
00450577000103;Fabricação de estruturas metálicas;CPC CONSTRUCOES E PROCESSOS CIENTIFICOS LTDA;61
00451915000113;Fabricação de acessórios do vestuário, exceto para segurança e proteção;LAGROTTA AZZURRA INDUSTRIA E COMERCIO DE CONFECCOES LTDA;62
00469550000154;Fabricação de artefatos de material plástico para usos industriais;TECSIS TECNOLOGIA E SISTEMAS AVANCADOS S.A.;63
00471912000141;Construção de rodovias e ferrovias;SETA SERVICOS DE ENGENHARIA,TERRAPLENAGEM E ADMINISTRACAO LTDA;64
00474300000293;Cultivo de melão;AGRICOLA FAMOSA LTDA;65
00474731000179;Fabricação de estruturas metálicas;INDUMEP-INDUSTRIA MECANICA PARAISO LTDA;66
00477027000170;Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios;BBA ENGENHARIA E COMERCIO DE PECAS E EQUIPAMENTOS INDUSTRIAIS LTDA - EPP;67
00479083000143;Construção de edifícios;Y TAKAOKA EMPREENDIMENTOS S/A;68
00487626000174;Obras de terraplenagem;IPE ENGENHARIA LTDA;69
00492142000113;Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário;HORIZONTE TEXTIL LTDA;70
00494516000130;Obras de terraplenagem;CONSTRUTORA ENGETRAN LTDA;71
00497918000198;Comércio varejista de combustíveis para veículos automotores;NOBREGA COMBUSTIVEIS LIMITADA;72
00504095000180;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;PAPA LIX PLASTICOS E DESCARTAVEIS LTDA.;73
00507949000182;Construção de edifícios;JATOBETON ENGENHARIA LTDA;74
00509018000113;Justiça;TRIBUNAL SUPERIOR ELEITORAL;75
00509320000171;Comércio atacadista de artigos de escritório e de papelaria;PIRAMIDE DIGITAL IMPRESSOES LTDA - ME;76
00515075000105;Fabricação de esquadrias de metal;MARCELO MENDONCA VITAL - EPP;77
00521671000106;Suporte técnico, manutenção e outros serviços em tecnologia da informação;ITEL INFORMATICA LTDA;78
00529581000153;Comércio varejista de combustíveis para veículos automotores;AUTO POSTO AMAPA LTDA.;79
00536490000145;Obras de urbanização - ruas, praças e calçadas;CONTERC CONSTRUCAO TERRAPLENAGEM E CONSULTORIA LTDA;80
00548755000120;#NULO;#NULO;81
00558356000145;Planos de saúde;PROMED - ASSISTENCIA MEDICA LTDA;82
00584653000165;Aluguel de imóveis próprios;FF AGROPECUARIA E EMPREENDIMENTOS S/A;83
00584755000180;Construção de edifícios;VIA ENGENHARIA S. A.;84
00584755000187;#NULO;#NULO;85
00600068000101;Comércio varejista de combustíveis para veículos automotores;POSTO TUCUNARE LTDA;86
00620518000128;Construção de edifícios;ENGENHARIA CARVALHO ACCIOLY LTDA;87
00629724000107;Corretagem na compra e venda e avaliação de imóveis;PLUS IMOVEIS LTDA;88
00632761000166;Fabricação de embalagens de material plástico;SINCOPLASTIC INDUSTRIA E COMERCIO DE PLASTICOS LTDA;89
00639041000122;Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;INMETRA ENGENHARIA DE SEGURANCA DO TRABALHO LTDA - EPP;90
00647440000135;Comércio varejista de combustíveis para veículos automotores;AUTO SHOPPING QL 06 COMERCIO DE DERIV DE PETROLEO LTDA;91
00650386000187;Comércio atacadista de café em grão;COOPERATIVA DOS CAFEICULTORES DO CERRADO MONTE CARMELO LTDA;92
00652193000165;Construção de rodovias e ferrovias;NAUTILUS ENGENHARIA S/A;93
00676262000251;Atividades de organizações políticas;PARTIDO DOS TRABALHADORES;94
00685464000189;Agências de publicidade;ZEROQUINZE COMUNICACAO TOTAL LTDA - ME;95
00707741000107;#NULO;FLAMAGE GRAFICA E EDITORA LTDA;96
00710530000123;Comércio por atacado de automóveis, camionetas e utilitários novos e usados;DALCAR VEICULOS LTDA.;97
00721142000148;Atividades de organizações associativas patronais e empresariais;ASSOCIACAO DE EMPRESAS DO MERCADO IMOBILIARIO DO DISTRITO FEDERAL;98
00735200000192;Compra e venda de imóveis próprios;VILA DA SERRA SOCIEDADE & EMPREENDIMENTOS LTDA;99
